product_id,product_name,category,quantity,reorder_level,unit_price,supplier,warehouse_location,last_updated
PRD-0062,"Ballpoint Pens (Box of 50)",Office Supplies,138,80,12,GlobalSupply,WH-A,2026-01-31
PRD-0063,"Antivirus Suite",Software,103,30,60,GlobalSupply,WH-A,2026-01-08
PRD-0064,"Office Chair Ergonomic",Furniture,48,5,450,OfficeMax,WH-B,2026-01-05
PRD-0065,"Office Chair Ergonomic",Furniture,68,5,450,OfficeMax,WH-C,2026-02-02
PRD-0066,"Printer Paper A4 (Ream)",Office Supplies,101,100,8,OfficeMax,WH-B,2026-01-13
PRD-0067,"Ballpoint Pens (Box of 50)",Office Supplies,116,80,12,GlobalSupply,WH-A,2026-01-07
PRD-0068,"Whiteboard Markers (Set)",Office Supplies,177,60,15,GlobalSupply,WH-A,2026-01-13
PRD-0069,"Filing Cabinet",Furniture,188,8,200,MegaStore,WH-A,2026-01-17
PRD-0070,"Filing Cabinet",Furniture,199,8,200,MegaStore,WH-C,2026-01-08
PRD-0071,"Tool Box",Hardware,174,15,55,OfficeMax,WH-B,2026-01-12
PRD-0072,"USB-C Hub",Electronics,183,40,45,GlobalSupply,WH-B,2026-01-10
PRD-0073,"Screwdriver Set",Hardware,105,20,35,MegaStore,WH-B,2026-01-29
PRD-0074,"Office Chair Ergonomic",Furniture,192,5,450,GlobalSupply,WH-C,2026-02-02
PRD-0075,"Stapler Heavy Duty",Office Supplies,76,25,18,MegaStore,WH-C,2026-01-11
